nohup: ignoring input
Serving HTTP on 0.0.0.0 port 51501 (http://0.0.0.0:51501/) ...
127.0.0.1 - - [31/Jul/2025 12:26:36] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:26:48] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:26:55] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:27:05] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:27:11] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:27:11] "GET /styles.css HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:27:11] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:27:12] code 404, message File not found
172.17.0.1 - - [31/Jul/2025 12:27:12] "GET /favicon.ico HTTP/1.1" 404 -
172.17.0.1 - - [31/Jul/2025 12:27:25] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:27:35] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:27:45] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:28:01] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [31/Jul/2025 12:28:02] "GET /script.js HTTP/1.1" 304 -
172.17.0.1 - - [31/Jul/2025 12:28:02] "GET /styles.css HTTP/1.1" 304 -
172.17.0.1 - - [31/Jul/2025 12:28:22] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:29:02] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:29:15] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:29:25] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:29:35] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:29:45] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:29:55] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:30:15] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:30:25] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:30:35] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:30:55] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:31:05] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:31:25] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:31:35] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:31:54] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:32:05] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:32:15] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:32:35] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:32:44] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:32:55] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:33:01] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:33:01] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:33:01] "GET /styles.css HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:33:01] code 404, message File not found
172.17.0.1 - - [31/Jul/2025 12:33:01] "GET /favicon.ico HTTP/1.1" 404 -
172.17.0.1 - - [31/Jul/2025 12:33:05] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:33:15] "GET /portfolio-details.html HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:33:15] "GET /portfolio-details.css HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:33:15] "GET /portfolio-details.js HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:33:18] "GET /index.html HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:33:25] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:33:32] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [31/Jul/2025 12:33:35] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:33:37] code 404, message File not found
172.17.0.1 - - [31/Jul/2025 12:33:37] "GET /Portfolio%20Details%20Page HTTP/1.1" 404 -
172.17.0.1 - - [31/Jul/2025 12:33:55] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:34:05] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:34:25] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:34:35] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:34:55] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:35:05] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:35:14] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:35:25] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:35:45] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:35:55] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:36:05] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:36:15] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:36:35] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:37:12] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:37:13] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:37:13] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:37:13] "GET /script.js HTTP/1.1" 304 -
172.17.0.1 - - [31/Jul/2025 12:37:13] "GET /styles.css HTTP/1.1" 304 -
172.17.0.1 - - [31/Jul/2025 12:37:17] "GET /portfolio-details.html HTTP/1.1" 304 -
172.17.0.1 - - [31/Jul/2025 12:37:17] "GET /styles.css HTTP/1.1" 304 -
172.17.0.1 - - [31/Jul/2025 12:37:17] "GET /portfolio-details.css HTTP/1.1" 304 -
172.17.0.1 - - [31/Jul/2025 12:37:17] "GET /portfolio-details.js HTTP/1.1" 304 -
172.17.0.1 - - [31/Jul/2025 12:37:21] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [31/Jul/2025 12:37:21] "GET /script.js HTTP/1.1" 304 -
172.17.0.1 - - [31/Jul/2025 12:37:23] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:37:43] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:37:53] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:38:03] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:38:23] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:38:34] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:38:54] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:39:04] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:40:22] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:41:12] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:41:13] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:41:20] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [31/Jul/2025 12:41:21] "GET /styles.css HTTP/1.1" 304 -
172.17.0.1 - - [31/Jul/2025 12:41:21] "GET /script.js HTTP/1.1" 304 -
172.17.0.1 - - [31/Jul/2025 12:41:28] "GET /portfolio-details.html HTTP/1.1" 304 -
172.17.0.1 - - [31/Jul/2025 12:41:28] "GET /styles.css HTTP/1.1" 304 -
172.17.0.1 - - [31/Jul/2025 12:41:28] "GET /portfolio-details.css HTTP/1.1" 304 -
172.17.0.1 - - [31/Jul/2025 12:41:28] "GET /portfolio-details.js HTTP/1.1" 304 -
172.17.0.1 - - [31/Jul/2025 12:41:31] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:41:32] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [31/Jul/2025 12:41:32] "GET /script.js HTTP/1.1" 304 -
172.17.0.1 - - [31/Jul/2025 12:41:41] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:41:54] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:42:01] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:42:13] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [31/Jul/2025 12:42:31] "GET / HTTP/1.1" 200 -
